"cond","pragContext","window","Region","trialType","quarter","feature","noun","list","prop_selections","ymin_selections","ymax_selections","prop_looks"
"contrast","unreliable","adjective","target","test",4,"small","flower",1,1,1,1,0.429203539823009
"contrast","unreliable","adjective","competitor","test",4,"small","flower",1,0,0,0,0.336283185840708
"contrast","unreliable","adjective","other","test",4,"small","flower",1,0,0,0,0.234513274336283
"contrast","unreliable","adjective","target","test",4,"small","icecream",1,1,1,1,0.579365079365079
"contrast","unreliable","adjective","competitor","test",4,"small","icecream",1,0,0,0,0.312698412698413
"contrast","unreliable","adjective","other","test",4,"small","icecream",1,0,0,0,0.107936507936508
"contrast","unreliable","adjective","target","test",4,"small","lobster",1,1,1,1,0.251984126984127
"contrast","unreliable","adjective","competitor","test",4,"small","lobster",1,0,0,0,0.0833333333333333
"contrast","unreliable","adjective","other","test",4,"small","lobster",1,0,0,0,0.66468253968254
"contrast","unreliable","adjective","target","test",4,"small","monkey",1,0.75,0.25,1,0.238095238095238
"contrast","unreliable","adjective","competitor","test",4,"small","monkey",1,0,0,0,0.252380952380952
"contrast","unreliable","adjective","other","test",4,"small","monkey",1,0.25,0,0.75,0.509523809523809
"contrast","unreliable","noun","target","test",1,"big","ball",1,1,1,1,0.660714285714286
"contrast","unreliable","noun","competitor","test",1,"big","ball",1,0,0,0,0
"contrast","unreliable","noun","other","test",1,"big","ball",1,0,0,0,0.339285714285714
"contrast","unreliable","noun","target","test",1,"big","ballerina",1,1,1,1,0.916666666666667
"contrast","unreliable","noun","competitor","test",1,"big","ballerina",1,0,0,0,0
"contrast","unreliable","noun","other","test",1,"big","ballerina",1,0,0,0,0.0833333333333333
"contrast","unreliable","noun","target","test",1,"big","corn",1,1,1,1,0.738839285714286
"contrast","unreliable","noun","competitor","test",1,"big","corn",1,0,0,0,0.111607142857143
"contrast","unreliable","noun","other","test",1,"big","corn",1,0,0,0,0.149553571428571
"contrast","unreliable","noun","target","test",1,"big","dog",1,1,1,1,0.610714285714286
"contrast","unreliable","noun","competitor","test",1,"big","dog",1,0,0,0,0
"contrast","unreliable","noun","other","test",1,"big","dog",1,0,0,0,0.389285714285714
"contrast","unreliable","noun","target","test",1,"big","hat",1,1,1,1,0.736607142857143
"contrast","unreliable","noun","competitor","test",1,"big","hat",1,0,0,0,0.136160714285714
"contrast","unreliable","noun","other","test",1,"big","hat",1,0,0,0,0.127232142857143
"contrast","unreliable","noun","target","test",1,"big","lock",1,1,1,1,0.557142857142857
"contrast","unreliable","noun","competitor","test",1,"big","lock",1,0,0,0,0.146428571428571
"contrast","unreliable","noun","other","test",1,"big","lock",1,0,0,0,0.296428571428571
"contrast","unreliable","noun","target","test",1,"big","pear",1,1,1,1,0.782142857142857
"contrast","unreliable","noun","competitor","test",1,"big","pear",1,0,0,0,0.0714285714285714
"contrast","unreliable","noun","other","test",1,"big","pear",1,0,0,0,0.146428571428571
