"cond","pragContext","window","Region","trialType","feature","noun","list","prop_selections","ymin_selections","ymax_selections","prop_looks"
"contrast","reliable","adjective","target","filler","lion","doorknocker",2,1,1,1,0.22279792746114
"contrast","reliable","adjective","competitor","filler","lion","doorknocker",2,0,0,0,0.287046632124352
"contrast","reliable","adjective","other","filler","lion","doorknocker",2,0,0,0,0.490155440414508
"contrast","reliable","adjective","target","filler","metal","sink",2,0.533333333333333,0.266666666666667,0.8,0.186178442496132
"contrast","reliable","adjective","competitor","filler","metal","sink",2,0,0,0,0.284682826199072
"contrast","reliable","adjective","other","filler","metal","sink",2,0.466666666666667,0.266666666666667,0.733333333333333,0.529138731304796
"contrast","reliable","adjective","target","filler","mobile","phone",2,0.933333333333333,0.8,1,0.321044546850998
"contrast","reliable","adjective","competitor","filler","mobile","phone",2,0.0666666666666667,0,0.2,0.392217101894521
"contrast","reliable","adjective","other","filler","mobile","phone",2,0,0,0,0.28673835125448
"contrast","reliable","adjective","target","filler","narrow","tire",2,0.8,0.6,1,0.301538461538462
"contrast","reliable","adjective","competitor","filler","narrow","tire",2,0,0,0,0.279487179487179
"contrast","reliable","adjective","other","filler","narrow","tire",2,0.2,0,0.4,0.418974358974359
"contrast","reliable","adjective","target","filler","nuts","chocolatebar",2,1,1,1,0.327188940092166
"contrast","reliable","adjective","competitor","filler","nuts","chocolatebar",2,0,0,0,0.186891961085509
"contrast","reliable","adjective","other","filler","nuts","chocolatebar",2,0,0,0,0.485919098822325
"contrast","reliable","adjective","target","filler","one","dollarbills",2,0.866666666666667,0.666666666666667,1,0.294481691593605
"contrast","reliable","adjective","competitor","filler","one","dollarbills",2,0.133333333333333,0,0.333333333333333,0.259412068076328
"contrast","reliable","adjective","other","filler","one","dollarbills",2,0,0,0,0.446106240330067
"contrast","reliable","adjective","target","filler","open","backpack",2,1,1,1,0.354838709677419
"contrast","reliable","adjective","competitor","filler","open","backpack",2,0,0,0,0.290834613415259
"contrast","reliable","adjective","other","filler","open","backpack",2,0,0,0,0.354326676907322
"contrast","reliable","adjective","target","filler","open","book",2,0.933333333333333,0.8,1,0.266149870801034
"contrast","reliable","adjective","competitor","filler","open","book",2,0,0,0,0.309560723514212
"contrast","reliable","adjective","other","filler","open","book",2,0.0666666666666667,0,0.2,0.424289405684755
"contrast","reliable","adjective","target","filler","open","box",2,0.857142857142857,0.642857142857143,1,0.370636550308008
"contrast","reliable","adjective","competitor","filler","open","box",2,0.0714285714285714,0,0.214285714285714,0.301334702258727
"contrast","reliable","adjective","other","filler","open","box",2,0.0714285714285714,0,0.214285714285714,0.328028747433265
"contrast","reliable","adjective","target","filler","open","coffin",2,0.933333333333333,0.8,1,0.256016385048643
"contrast","reliable","adjective","competitor","filler","open","coffin",2,0,0,0,0.281618023553507
"contrast","reliable","adjective","other","filler","open","coffin",2,0.0666666666666667,0,0.2,0.462365591397849
"contrast","reliable","adjective","target","filler","open","lock",2,1,1,1,0.37173579109063
"contrast","reliable","adjective","competitor","filler","open","lock",2,0,0,0,0.234511008704557
"contrast","reliable","adjective","other","filler","open","lock",2,0,0,0,0.393753200204813
"contrast","reliable","adjective","target","filler","pink","cooler",2,1,1,1,0.165028453181583
"contrast","reliable","adjective","competitor","filler","pink","cooler",2,0,0,0,0.298499741334713
"contrast","reliable","adjective","other","filler","pink","cooler",2,0,0,0,0.536471805483704
"contrast","reliable","adjective","target","filler","pink","eraser",2,0.933333333333333,0.8,1,0.193463363205061
"contrast","reliable","adjective","competitor","filler","pink","eraser",2,0.0666666666666667,0,0.2,0.311017395888245
"contrast","reliable","adjective","other","filler","pink","eraser",2,0,0,0,0.495519240906695
"contrast","reliable","adjective","target","filler","plastic","fork",2,0.933333333333333,0.8,1,0.265665458311756
"contrast","reliable","adjective","competitor","filler","plastic","fork",2,0,0,0,0.238218539616779
"contrast","reliable","adjective","other","filler","plastic","fork",2,0.0666666666666667,0,0.2,0.496116002071466
"contrast","reliable","adjective","target","filler","rainbow","slinky",2,0.933333333333333,0.8,1,0.286309213951067
"contrast","reliable","adjective","competitor","filler","rainbow","slinky",2,0,0,0,0.343571056741281
