"condition","itemid","Window","Region","freq.eye","prop.eye","freq.click","prop.click"
"nocontrast",12,"adjective","contrast",0,0,1,0.02
"nocontrast",12,"adjective","target",156,0.604651162790698,13,0.26
"nocontrast",12,"noun","competitor",0,0,3,0.06
"nocontrast",12,"noun","distractor",0,0,1,0.02
"nocontrast",12,"noun","contrast",0,0,0,0
"nocontrast",12,"noun","target",0,0,46,0.92
"nocontrast",12,"prior","competitor",73,0.349282296650718,17,0.34
"nocontrast",12,"prior","distractor",44,0.210526315789474,9,0.18
"nocontrast",12,"prior","contrast",16,0.076555023923445,10,0.2
"nocontrast",12,"prior","target",76,0.363636363636364,14,0.28
"nocontrast",13,"adjective","competitor",135,0.478723404255319,43,0.86
"nocontrast",13,"adjective","distractor",3,0.0106382978723404,2,0.04
"nocontrast",13,"adjective","contrast",0,0,0,0
"nocontrast",13,"adjective","target",144,0.51063829787234,5,0.1
"nocontrast",13,"noun","competitor",10,0.476190476190476,40,0.8
"nocontrast",13,"noun","distractor",0,0,0,0
"nocontrast",13,"noun","contrast",0,0,0,0
"nocontrast",13,"noun","target",11,0.523809523809524,10,0.2
"nocontrast",13,"prior","competitor",32,0.155339805825243,6,0.12
"nocontrast",13,"prior","distractor",110,0.533980582524272,18,0.36
"nocontrast",13,"prior","contrast",60,0.29126213592233,16,0.32
"nocontrast",13,"prior","target",4,0.0194174757281553,10,0.2
"nocontrast",14,"adjective","competitor",77,0.353211009174312,36,0.72
"nocontrast",14,"adjective","distractor",12,0.055045871559633,0,0
"nocontrast",14,"adjective","contrast",35,0.160550458715596,0,0
"nocontrast",14,"adjective","target",94,0.431192660550459,14,0.28
"nocontrast",14,"noun","competitor",12,0.307692307692308,7,0.14
"nocontrast",14,"noun","distractor",1,0.0256410256410256,0,0
"nocontrast",14,"noun","contrast",0,0,0,0
"nocontrast",14,"noun","target",26,0.666666666666667,43,0.86
"nocontrast",14,"prior","competitor",76,0.306451612903226,17,0.34
"nocontrast",14,"prior","distractor",25,0.100806451612903,6,0.12
"nocontrast",14,"prior","contrast",121,0.487903225806452,12,0.24
"nocontrast",14,"prior","target",26,0.104838709677419,15,0.3
"nocontrast",15,"adjective","competitor",68,0.333333333333333,41,0.82
"nocontrast",15,"adjective","distractor",0,0,0,0
"nocontrast",15,"adjective","contrast",0,0,0,0
"nocontrast",15,"adjective","target",136,0.666666666666667,9,0.18
"nocontrast",15,"noun","competitor",0,0,12,0.24
"nocontrast",15,"noun","distractor",0,0,0,0
"nocontrast",15,"noun","contrast",0,0,0,0
"nocontrast",15,"noun","target",0,0,38,0.76
"nocontrast",15,"prior","competitor",109,0.392086330935252,13,0.26
"nocontrast",15,"prior","distractor",11,0.039568345323741,4,0.08
"nocontrast",15,"prior","contrast",26,0.0935251798561151,11,0.22
"nocontrast",15,"prior","target",132,0.474820143884892,22,0.44
"nocontrast",16,"adjective","competitor",59,0.324175824175824,42,0.84
"nocontrast",16,"adjective","distractor",24,0.131868131868132,3,0.06
"nocontrast",16,"adjective","contrast",39,0.214285714285714,0,0
"nocontrast",16,"adjective","target",60,0.32967032967033,5,0.1
"nocontrast",16,"noun","competitor",5,0.116279069767442,3,0.06
"nocontrast",16,"noun","distractor",0,0,1,0.02
"nocontrast",16,"noun","contrast",5,0.116279069767442,0,0
"nocontrast",16,"noun","target",33,0.767441860465116,46,0.92
"nocontrast",16,"prior","competitor",67,0.313084112149533,17,0.34
"nocontrast",16,"prior","distractor",61,0.285046728971963,13,0.26
"nocontrast",16,"prior","contrast",43,0.200934579439252,18,0.36
"nocontrast",16,"prior","target",43,0.200934579439252,2,0.04
"nocontrast",17,"adjective","competitor",48,0.157894736842105,36,0.72
"nocontrast",17,"adjective","distractor",42,0.138157894736842,2,0.04
"nocontrast",17,"adjective","contrast",32,0.105263157894737,3,0.06
